order_id,category,price,discount_pct,payment_method,customer_order_count,customer_return_rate_hist,days_since_signup,delivery_days,is_weekend_order,size_variant,coupon_used,review_rating_at_purchase,returned
ORD100000,beauty,235.1,36.4,COD,5,0.25,41,6,0,0,0,3.9,1
ORD100001,apparel,1023.33,15.1,COD,5,0.25,30,5,1,1,0,3.2,0
ORD100002,home,505.15,38.5,UPI,3,0.0,9,4,1,0,0,3.8,0
ORD100003,electronics,1050.24,19.6,prepaid_card,3,0.0,91,2,0,0,0,3.9,0
ORD100004,beauty,261.49,26.3,COD,9,0.0,9,1,1,0,0,3.9,0
ORD100005,apparel,152.81,9.1,prepaid_card,6,0.0,502,3,0,1,1,3.8,1
ORD100006,home,5588.52,21.5,COD,3,0.0,197,4,0,0,0,4.4,0
ORD100007,grocery,169.33,53.0,prepaid_card,4,0.0,124,2,0,0,1,3.9,0
ORD100008,apparel,409.87,17.7,COD,3,0.5,535,1,0,1,1,3.7,1
ORD100009,electronics,229.89,12.5,UPI,1,,65,4,0,0,1,4.0,0
ORD100010,footwear,581.83,9.8,COD,6,0.0,65,4,1,1,1,4.4,0
ORD100011,accessories,219.11,19.1,COD,5,0.0,185,3,0,0,0,3.9,0
ORD100012,electronics,2159.02,28.8,prepaid_card,5,0.5,33,1,0,0,0,4.5,0
ORD100013,footwear,197.05,21.7,prepaid_card,3,0.0,230,5,0,0,0,4.3,0
ORD100014,apparel,975.93,43.0,prepaid_card,6,0.6,3,6,0,1,0,3.6,0
ORD100015,beauty,161.94,15.1,prepaid_card,3,0.0,15,3,1,0,0,3.3,0
ORD100016,apparel,1407.31,15.1,COD,5,0.25,86,4,0,1,0,3.0,1
ORD100017,apparel,228.21,18.3,COD,10,0.3333333333333333,212,2,1,1,1,3.8,0
ORD100018,footwear,254.15,34.6,COD,5,0.25,98,2,0,1,1,4.8,1
ORD100019,footwear,488.49,44.5,UPI,12,0.36363636363636365,108,6,1,1,0,5.0,0
ORD100020,electronics,463.23,11.2,COD,2,0.0,107,4,0,0,0,4.5,0
ORD100021,beauty,5090.2,32.6,COD,3,0.0,53,1,1,0,1,3.6,0
ORD100022,home,2316.82,25.1,COD,13,0.4166666666666667,188,5,0,0,0,4.4,1
ORD100023,home,351.91,30.2,COD,6,0.2,179,4,0,0,0,4.9,0
ORD100024,footwear,8512.81,22.9,UPI,5,0.25,608,4,0,1,1,5.0,0
ORD100025,apparel,278.93,32.3,UPI,3,0.5,132,1,0,1,0,4.3,0
ORD100026,beauty,1505.34,41.8,UPI,3,0.5,13,2,1,0,1,3.6,0
ORD100027,apparel,237.27,35.8,COD,1,,127,1,0,1,0,4.0,1
ORD100028,electronics,264.31,40.0,prepaid_card,4,0.3333333333333333,344,1,0,0,1,4.7,1
ORD100029,beauty,272.29,37.5,wallet,7,0.3333333333333333,446,7,0,0,0,4.9,0
ORD100030,home,989.29,27.7,wallet,8,0.14285714285714285,37,4,0,0,0,4.3,0
ORD100031,home,582.76,9.2,UPI,5,0.25,93,1,0,0,0,4.1,0
ORD100032,beauty,988.25,54.2,UPI,2,0.0,157,10,0,0,0,4.7,0
ORD100033,apparel,686.14,27.4,COD,6,0.2,304,4,0,1,1,4.0,0
ORD100034,accessories,1715.83,18.4,COD,4,0.3333333333333333,97,1,0,0,0,4.0,0
ORD100035,apparel,530.9,15.6,COD,8,0.14285714285714285,60,4,0,1,1,4.4,0
ORD100036,apparel,1199.36,7.6,UPI,9,0.375,229,3,0,1,0,3.5,1
ORD100037,grocery,515.0,15.7,prepaid_card,8,0.14285714285714285,550,3,0,0,1,5.0,0
ORD100038,electronics,946.45,36.6,prepaid_card,2,0.0,92,6,0,0,0,3.5,0
ORD100039,footwear,474.93,32.6,prepaid_card,2,0.0,378,5,0,0,0,3.5,0
ORD100040,home,310.34,11.7,wallet,3,0.5,45,6,0,0,0,3.7,0
ORD100041,beauty,2821.79,37.2,wallet,5,0.25,30,1,1,0,0,3.7,0
ORD100042,home,345.14,39.5,COD,10,0.0,22,4,1,0,1,4.1,0
ORD100043,apparel,507.68,55.4,UPI,3,0.0,407,1,1,1,1,4.4,0
ORD100044,accessories,799.56,47.7,COD,5,0.0,12,3,0,0,0,4.0,0
ORD100045,accessories,310.45,24.9,prepaid_card,1,,113,7,0,0,0,4.6,0
ORD100046,apparel,263.35,65.2,COD,3,1.0,250,1,1,1,0,3.4,1
ORD100047,beauty,1003.23,32.9,wallet,8,0.2857142857142857,247,7,0,0,0,4.1,0
ORD100048,electronics,139.86,50.8,prepaid_card,2,0.0,305,3,0,0,0,4.5,1
ORD100049,grocery,457.17,31.8,prepaid_card,5,0.25,86,3,0,0,0,4.3,0
ORD100050,accessories,209.04,32.6,prepaid_card,5,0.5,6,4,0,0,0,3.6,0
ORD100051,home,836.12,61.8,COD,2,1.0,303,2,0,0,1,3.8,0
ORD100052,apparel,319.81,43.2,UPI,7,0.16666666666666666,33,6,0,1,0,4.3,0
ORD100053,beauty,1159.88,18.1,prepaid_card,3,0.0,6,4,1,0,0,4.5,0
ORD100054,grocery,2170.1,25.8,prepaid_card,8,0.5714285714285714,209,4,0,0,0,3.6,0
ORD100055,beauty,1401.78,30.7,prepaid_card,5,0.25,102,3,0,0,1,4.4,0
ORD100056,electronics,593.35,41.1,prepaid_card,5,0.0,348,3,1,0,1,3.2,0
ORD100057,footwear,1168.31,21.7,COD,2,0.0,149,1,0,1,0,3.7,1
ORD100058,electronics,1095.23,1.5,COD,13,0.5833333333333334,173,5,0,0,1,3.5,0
ORD100059,grocery,3030.15,20.6,prepaid_card,3,0.0,177,2,1,0,0,4.0,0
ORD100060,home,211.28,21.9,prepaid_card,3,0.5,8,6,0,0,0,3.7,0
ORD100061,electronics,1707.47,23.4,prepaid_card,4,0.0,72,6,1,0,0,4.0,0
ORD100062,footwear,637.42,23.0,UPI,8,0.42857142857142855,15,4,0,1,0,4.1,0
ORD100063,accessories,59.49,35.7,prepaid_card,6,0.6,267,3,0,0,0,3.7,0
ORD100064,footwear,330.74,23.8,UPI,3,0.0,62,2,1,1,0,3.8,0
ORD100065,beauty,795.07,12.2,COD,8,0.14285714285714285,726,4,0,0,1,4.5,0
ORD100066,apparel,342.85,53.4,prepaid_card,7,0.0,148,1,0,0,1,4.3,0
ORD100067,home,358.19,11.3,prepaid_card,9,0.125,74,5,0,0,0,3.8,0
ORD100068,electronics,2037.54,28.8,UPI,8,0.0,14,3,1,0,0,3.8,0
ORD100069,home,441.58,23.6,UPI,1,,322,3,0,0,0,4.8,0
ORD100070,footwear,1572.67,22.5,prepaid_card,6,0.6,163,3,0,1,0,3.9,1
ORD100071,home,561.91,60.2,prepaid_card,6,0.6,222,5,0,0,0,3.1,0
ORD100072,beauty,736.16,6.4,UPI,4,0.3333333333333333,385,6,0,0,1,4.5,1
ORD100073,beauty,415.78,28.1,UPI,9,0.0,36,3,0,0,0,3.3,0
ORD100074,accessories,337.89,14.6,wallet,3,1.0,101,1,0,0,0,3.9,0
ORD100075,electronics,507.3,19.2,COD,3,0.0,139,4,0,0,0,4.1,0
ORD100076,apparel,811.09,27.2,wallet,7,0.5,7,1,0,1,0,5.0,1
ORD100077,apparel,3262.4,35.7,wallet,5,0.0,169,3,0,1,0,4.7,0
ORD100078,footwear,1286.96,71.0,prepaid_card,4,0.0,599,2,0,0,1,4.3,0
